评论日期,评论者昵称,性别,所在城市,猫眼等级,评分,评论内容
2018-10-01,老猫是胖胖,0,无锡,3,0.5,一贯的风格，最后一次线下看他的电影
2018-10-01,Zqa415160063,1,西安,3,4.5,好看，后半部分是高潮，逐渐引人入胜
2018-10-01,A-吴素松,1,潮州,2,4.5,还行。。。。
2018-10-01,棣棣的妹妹,0,扬州,2,5,超级好看就是有点血腥
2018-10-01,仙乐殿下,0,梧州,2,4,前面有点耐不住～中后段很好看了！特别是沛伞打开以后～很是惊心动魄！血液飞溅；剧情很清楚明白～水墨风格特别美～特别中国风好评，值得票价的
2018-10-01,Sophie,0,武汉,2,2.5,血腥，杀戮。
2018-10-01,Nmf419896808,0,上海,4,4.5,故事是不错的，场景也不错，就是细节上有点粗糙，另外不是3d真好
2018-10-01,掉线皇后,0,常州,3,5,别具一格的风格！艺术与剧情的结合！赞一个！
2018-10-01,IJP224829863,0,徐州,2,2.5,看不太懂。。。
2018-10-01,月跃,2,天津,3,3,画面不错，但是剧情太一般，武打动作也一般
2018-10-01,珊瑚鱼,1,西安,1,5,让人感觉很震撼的一部剧。
2018-10-01,火爵,1,郑州,3,3,布景，意境过于矫揉造作
2018-10-01,lUe269761931,0,蚌埠,3,5,整体不错，值得票价
2018-10-01,dqG223279933,0,廉江,3,4,制作精良，演员挺好的
2018-10-01,安静m,2,成都,6,4,孙俪唯一一部毫无违和感的电影，所以要遇上好的导演和剧本才是正理，郑凯演的不错
2018-10-01,kWI377067591,0,重庆,2,4,水墨丹青色彩
2018-10-01,韩博志19900115,1,沈阳,3,3.5,老谋子的作品，画面不用多说，强项～故事简单单一，前一个小时可能会让人看的累，最后半小时情节跌宕才表现出来，不管怎样啊，这个时代老导演拍的东西肯定是褒贬不一的有争议的。这个电影看与不看皆可，演员们演的都还可以，包括有争议的小演员关晓彤吴磊，演的都还中规中矩～有的画面偏血腥，但还能接受
2018-10-01,幽怨狱神·暗屠冥   玄月陷轮回,2,天津,1,5,看完，被邓超的演技征服了，超喜欢这个水墨风格，闭上眼睛听那个琴音十分享受，那个伞真棒，慢慢琢磨最后的那个画面……
2018-10-01,p吃喝玩乐q,0,郑州,3,4.5,由浅入深，由表及里，一波三折，画面和演员演技都很不错
2018-10-01,那谁~,1,北京,3,1,什么玩意儿！！
2018-10-01,iop372124,0,临沂,3,5,还不错，山水画，唯美
2018-10-01,qyh6087,0,成都,4,5,水墨风格 充满中国元素 邓超孙俪演技棒！推荐
2018-10-01,KOu934334129,0,龙海,2,3,除了服装道具，剧情纯属忽悠
2018-10-01,小苹果,0,武汉,1,1.5,血腥暴力，有少儿不宜成人片断，放假期间有不少少童儿童学生观看，请有社会责任感！
2018-10-01,@月寂,2,吴川,1,5,烟雨朦胧，水墨天成般黑白灰的背景，影子与真身的忠诚、矛盾、斗争，小艾的内心挣扎，青萍的不屈与直率，杨平的骄傲与忠诚，主公的狡诈…………皆生动形象，全都展现了出来，让人沉迷其中…………
2018-10-01,麻辣巴蜀曾哥哥,0,毕节,3,5,"画面太美很棒，良心大剧吧
孙，邓演的好!"
2018-10-01,jO$h,0,深圳,3,0.5,故弄玄虚，没什么可深度思考。可惜了道具和场景
2018-10-01,过客的牵绊,2,沂南,1,5,这样的题材我特别喜欢
2018-10-01,印象紫凌雨,2,天津,2,5,说他们为艺术付出了多少，他们也就是利用艺术赢得了名利双丰收。
2018-10-01,封狼居,2,成都,2,5,老毛子拍的最美最惊艳的电影
2018-10-01,牵着你的手听海,0,沈阳,3,0.5,烂 真烂 无比压抑，看了这么多年电影，第一次评论
2018-10-01,鸾刀,2,宁波,4,4,画面场景真的很水墨风，很美。大概是为了画风而舍弃了剧情吧，20分钟能说完的故事硬生生拖成一部电影，以至于人物太不饱满，除了着重刻画的三个主角，沛良，子虞和境州外，小艾，青萍，杨苍父子，鲁严，田战的形象真的是太不走心了，用生硬的情节发展去堆动一场人心诡谲的阴谋大戏。邓超的子虞算是突破演技了，眼前一亮。心中的赢家是沛良，对人心的把握和整个谋划算计毫无纰漏，唯独错估了破船还有三斤钉的子虞外，是应当成为黄雀的人。挑完骨头，总体来说是部还不错的电影。
2018-10-01,SKa531331068,0,秦皇岛,2,5,相当不错的电影，点赞
2018-10-01,心姐爱妮,2,哈尔滨,3,5,演员到拍摄成效都很棒，超俪组合堪称无敌
2018-10-01,9.21,1,惠州,2,5,挺好的，开头给主公骗了以后类似于傀儡那种
2018-10-01,子烨,2,上海,2,5,电影时间太短，没看够。
2018-10-01,WHf125299697,0,任丘,2,3,剧情好尴尬，演技在线。
2018-10-01,宝贝吖宝贝,2,常州,3,4,《影》片中的黑与白运用到了极致，纯粹！真身与影子，影子与真身，谁是谁非…
2018-10-01,俊锐987,1,潮州,3,0.5,烂片～～～～～～～～
2018-10-01,奔跑的蜗牛,0,广州,3,5,这么多年了，张导终于导演了一部能让我买票看的电影，赞👍
2018-10-01,聪聪肖迎燕,0,上海,3,5,很好，影子，内心，残酷的升级版本，自报应
2018-10-01,丶影夜来,1,苏州,4,5,好看，视觉享受，演技在线，美如画，看的很痛快，过瘾
2018-10-01,月9069,1,武汉,2,5,不愧是老谋子大师
2018-10-01,MZHA90,0,佛山,3,3,只能说一般……
2018-10-01,楼上吊爆了,0,广州,2,5,超哥演技真的好
2018-10-01,媚媚家的猪,0,南宁,2,5,哦呀哦呀哦呀
2018-10-01,Single&,2,成都,1,5,杨平杨平杨平
2018-10-01,三爷炊饭,1,莆田,2,0.5,要不是必须打星 不然半星都没 烂片 垃圾 ***烂 烂到家了 别说我是什么喷子 不信可以花钱来看 让你们知道后悔是有多后悔。
2018-10-01,隔夜茶,1,成都,2,5,看得出来每一位演员都付出了很多心血
2018-10-01,背后的蓝天666,1,益阳,2,3,剧情后期，暴击一刀流，打架女姿态开场让人着实无语。强烈黑白灰镜头个性分明，就邓超演技和结尾有点儿看点，其余平平无奇。
2018-10-01,老闫的酥酥,0,保定,2,4.5,挺好看的啊，我这个人看大多数电影都会觉得不错呢。
2018-10-01,cmdyg.,0,北京,4,5,好看，好看，好看
2018-10-01,vCn218827860,0,南昌,1,4.5,一贯美轮美奂的场景和布景，是张艺谋电影的重要看点。水墨风的黑白灰色调则是又一次震感内心的惊艳。新兵器沛伞的设计，加上“滑板式用法”和“韧劲杀人效果”着实是末端的一个小高潮。而子虞佝偻的身形操持着笔直竹棍的动作设计又是一个鲜明对比。总之，在冷兵器和武打动作的设计上，老谋子的电影从不会让人失望。所以，值得一看。而至于剧情，无论各路大神如何解读，依然难掩其过于简单的事实。比如当匕首出现时，两人的对戏结局就已经出现在了脑海。ps:经开越幕影城也是个意外惊喜，座椅超舒服，看电影不用跑远了。
2018-10-01,NIw789151292,1,普洱,3,1.5,看得尴尬症发了，只好睡觉，唉！国庆节被割韭菜了
2018-10-01,IfJ665134187,1,汕头,4,4.5,水墨风格的电影，在观看的过程本身就是一种享受，境州的母亲究竟是谁所杀，接连出现几次反转，把剧情推向高潮。
2018-10-01,yjn2018,0,河源,3,0.5,不好看，太老土了，差评
2018-10-01,yspring01,1,上海,1,1,张朗才尽，好久没在影院里睡着了。节奏缓慢，颜色晦涩，情节拖沓。情节画面本末倒置。就是一部“印象镜州”。老邓头拼命演得可圈可点。
2018-10-01,歌者与猫。980,2,北京,2,5,所有的十分都给这部电影的演员们。影片很好看，很有威慑力。看的心情跌宕起伏。非常好看。推荐大家看一看，所有的人的演技都很好。感觉关晓彤的演技进步了很多，那一句。那到底什么是真的给他十分。超哥，辛苦了。为了这个电影暴瘦40斤。很喜欢这部电影。
2018-10-01,ken186,1,深圳,3,3,一个字闷。。。老谋子真是越拍越没劲啊。还好剧情链接不错，起码让人看懂了，比那些小鲜肉片还是要强一点。但。。。真不推荐！还有重点宣传的画面，真心一般，让人感觉是低成本制作。哎，总之失望！！
2018-10-01,刘烨彤,2,吉林,3,5,张艺谋出品，果然是精品，场景服装全都是山水墨画，背景音乐都是中国风，剧情跌宕起伏，看的我心惊胆战，每个演员的演技都一流，尤其给超哥10000个赞，为了完成两个角色的演绎，先增肥又减肥，两个角色切换的完美至极，在影院还听到有人说瘦的那个是替身，其实都是超哥自己，很完美
2018-10-01,A非凡健身  （Rain老李）,1,哈尔滨,3,3,冲着胡军去的，最后发现不好看，看不懂这种中国风。
2018-10-01,陈武江,1,深圳,3,2.5,不知道该怎么评
2018-10-01,tian850319,2,成都,4,5,水墨和电影的结合，完美
2018-10-01,wf198900,2,孝感,1,0.5,垃圾片，全程听音乐，老谋子该退下了
2018-10-01,okj832866110,0,新郑,4,5,超能俪组合的影演技真棒期待超哥的新作
2018-10-01,新韭菜,0,石家庄,3,2.5,一般般，老谋子除了古装戏，别的不会了
2018-10-01,EXT375848650,2,四平,2,5,满分 演技满分 画质满分 演员满分 喜欢💕
2018-10-01,雯Love响,2,北京,3,4.5,郑恺演技大爆发，非常赞！大家一定要到电影院亲身去感受啊.
2018-10-01,kiki19881021,0,无锡,3,4,死的是境州不是子虞，最后偷窥的视角解释了一切
2018-10-01,FOm77744552,1,金华,1,2,一点都不好看。看看小孩子都睡觉了。有催眠功能。
2018-10-01,ck妹妹,2,成都,3,4,真的只能说古风很漂亮 可是有的事情能不能不要那么夸张，血飙得出声～还有武术动作设计是搞笑的么？不过真的喜欢琴瑟合鸣 意境深远啊
2018-10-01,飞飞,1,成都,1,5,给我震撼最大的还是在奥运会张艺谋导演的晚会
2018-10-01,uVy555812906,0,江门,5,0.5,换一种工业企业所得税呜呜呜呜
2018-10-01,孙立中,1,东莞,2,5,还行，值得一
2018-10-01,小新,0,宜宾,1,5,追求自由。。
2018-10-01,蓉月雪,0,如东,1,0.5,全程黑白色画面，差点儿睡着
2018-10-01,刘长乐,0,黄石,2,0.5,乱七八糟，故弄玄虚！
2018-10-01,gDo105262550,0,泸州,2,5,未满18岁不宜看，不喜欢动脑的不宜看，不了解中国文化的不宜看。
2018-10-01,🎀    雅涵 🎀,2,北京,2,3.5,水墨画面，很有意境，计中计的衔接，但还是有些平淡了
2018-10-01,snoopycx,2,焦作,3,4.5,觉得有点吓人。朋友看完做噩梦了。。。剧情还挺吸引人。
2018-10-01,深巷少女alx,2,重庆,2,1,如果对这个片子抱了希望的还是别去看了，真心不好看
2018-10-01,UG大人,1,长春,4,4,我喜欢这个色调
2018-10-01,糖糖生日快乐,0,阜新,3,2,冲张艺谋去的，烂片，血腥暴力毫无逻辑，看的这后悔，白瞎我19.9元
2018-10-01,一根火柴的故事,0,绵竹,1,3.5,"影片的画面优美，心疼，却有一个雅字渗透于全剧中。琴瑟的韵律，水墨的交融，太极的神秘都都让人沉浸其中 
影片的人物设置，影子的挣扎，帝王的谋略，臣子的野心
交错之间，爱情的交错反而淡泊了。无需爱情反而成了影片最大的成功。"
2018-10-01,大国806,1,济南,2,5,唯美的画面，雨中的味道，在水墨飞雨中演绎着不同的故事，为达官贵人做替身的影子，饱尝了人间尔虞我诈的艰辛……影片超级好看。
2018-10-01,暗&夜,0,叶县,2,5,妙不可言，用心体会
2018-10-01,挑粪进食堂,1,瑞金,2,2.5,服装背景不错，演员演技欠佳。
2018-10-01,Jfx870700567,0,苏州,4,4.5,邓超孙俪的演技不必说，那是极好的。郑凯也是眼前一亮，关晓彤和吴磊虽然年纪小但是演的真的不错最后青萍一把匕首与杨平同归于尽👍👍
2018-10-01,赤红谢长留,1,天津,2,5,一个奥运开幕式贡献就超过任何导演
2018-10-01,刘义,1,重庆,3,0.5,前期打瞌睡，中后期血腥无比，玩权术又玩的不高明。邓超两口子演技不错，遗憾遗憾，总体很差劲。
2018-10-01,悠悠66666666,2,郑州,2,3.5,前半部分故事节奏比较慢，枯燥的分分钟想走，后半部分还挺好的，整体服装色调上很有中国特色
2018-10-01,下一站幸福214,0,海宁,4,4,黑白色调！挺血腥！邓超演技可以的，
2018-10-01,孤妄,1,海城,1,3,还算一般吧。。
2018-10-01,祁謃北鬥,2,长春,2,5,震撼，张艺谋就是张艺谋不可替代！
2018-10-01,祥子,1,天津,1,5,邓超和孙俪真的是不会辜负我们的期望。
2018-10-01,太多刁民想害朕。,1,简阳,3,3,一句话总结观影感受：“看着都疼～”其实这部电影该分级，不适合带小孩子观看。给6分是给这部电影所有演员的，包括两名鲜肉，均演技精湛。但是这部电影就有点不值6分了，老谋子的电影打斗场面没话说，从剧本来说没有绝对的正派与反派，三方智商都在线，但是武侠片却整出了伦理剧的感觉，全片充满权益与算计，缺了江湖那种人情世故的味道，总觉得不是个滋味。
2018-10-01,童兵要像 太阳,0,深圳,3,5,还不错哦哦哦！
2018-10-01,xihuanyoona,0,高密,2,5,很好看，孙俪邓超演技超棒，水墨画画很美，张导还是张导👍
2018-10-01,未知,1,天津,2,5,适合去外国拿奖。但中国观众看就有点那个，一票明星占了大半看点。
